user_id,friends
4942,"[977, 3152, 2522, 4900, 8122, 7183, 2763, 3568, 1373, 7759, 6809, 1031, 2577, 49, 1616, 7396, 798, 32, 4316, 3245, 767, 4532, 1113, 6831, 6228, 3352, 5630, 4622, 5075, 6986, 1161, 3803, 7256, 3160, 6637, 6881, 2043, 5500, 6500, 6747, 5637, 3684, 4289, 4347, 6712, 870, 5867, 3909, 7240, 6801, 911, 3125, 6869, 1540, 116, 7674, 2092, 6522, 5568, 4683, 3504, 3969, 5705, 719, 2917, 6300, 4240, 7856, 2549, 1809, 5525, 301, 3062, 5159, 3367, 7998, 6849, 5612, 3472, 2272, 901, 5417, 7101, 7833, 8005, 2022, 2842, 7897, 2687, 2550, 3516, 4009, 2060, 5436, 2374, 6845, 5677, 1505, 5852, 2735, 7992, 2421, 4034, 7842, 6786, 6163, 897, 114, 6838, 7213, 1549, 7546, 6648, 6785, 3351, 7156, 7807, 510, 7228, 3994, 6966, 74, 5441, 6015, 5251, 6916, 7721, 7286, 3641, 1537, 3811, 8169, 5802, 2843, 7276, 8055, 110, 4411, 3248, 7513, 899, 3397, 2676, 588, 8247, 170, 1857, 3962, 8088, 8196, 1072, 4035, 6738, 4706, 6570, 5571, 6120, 6106, 3730, 913, 6509, 6465, 7525, 7819, 3903]"
6953,"[900, 3687, 5117, 3261, 6575, 366, 8203, 5352, 538, 6123, 8184, 7298, 2701, 671, 375, 4532, 7286, 7514, 567, 5082, 1903, 7453, 3822, 197, 1419, 6853, 8005, 6, 944, 3054, 5559, 2738, 4929, 4472, 980, 2660, 848, 2256, 7209, 7759, 4424, 8015, 1759, 2388, 7092, 1031, 8169, 7071, 399, 5522, 2554, 1862, 3352, 4240, 604, 3928, 2086, 7396, 959, 5083, 3568, 740, 629, 5269, 2272, 5843, 1698, 1549, 2452, 716, 8107, 1169, 2991, 2102, 2151, 7545, 941, 5251, 403, 2687, 986, 5537, 6747, 5343, 2763, 6509, 7713, 1292, 1438, 7102, 2000, 7919, 24, 3628, 6738, 5552, 405, 7595, 3684, 3646, 5858, 4345, 6830, 6776, 4622, 6228, 4336, 4605, 7998, 3669, 3504, 6799, 3139, 4766, 2533, 5299, 5658, 8196, 4706, 49, 5568, 2531, 7276, 1266, 7221, 8122, 4411, 2015, 401, 4356, 110, 4946, 885, 523, 5630, 2561, 4034, 5571, 6637, 7240, 2842, 3440, 1113, 1810, 587, 3152, 2930, 834, 1842, 1498, 1958, 2195, 2537, 1295, 6923, 7958, 2234, 1616, 7109, 5749, 1540, 1908, 1748, 6734, 897, 993, 3400, 3367, 6490, 6845, 7034, 1088, 6781, 1396]"
2948,"[8227, 1409, 6781, 2812, 897, 3352, 5571, 3903, 911, 7674, 1515, 1540, 1616, 7833, 4866, 740, 3367, 510, 8220, 410, 7322, 1113, 3646, 3650, 5307]"
5741,"[3159, 49, 6747, 3047, 740, 116, 1446, 7092, 7453, 2582, 3218, 1729, 3160, 2328, 2391, 5974, 2652, 4504, 2842, 7762, 1133, 69, 1933, 4466, 5966, 8122, 3952, 5481, 6831, 3248, 4304, 7662]"
6544,"[2018, 704, 3568, 1031, 3352, 1616, 6228, 3761, 4244, 4610, 7298, 2559, 7545, 2272, 5523, 897, 8107, 5630, 4327, 1419, 1029, 5127]"
1417,"[496, 2176, 80, 977, 380, 1563, 8005, 1263, 1842, 5818, 2115, 3712, 3103, 1610, 1327, 2713, 1762, 6448, 3153, 5987, 4784, 1198, 3266, 4050, 605, 7879, 5617, 5976, 6440, 3092, 4941, 3733]"
1031,"[197, 1219, 8203, 3152, 7092, 5900, 407, 7514, 3952, 1612, 967, 5559, 6158, 5615, 8015, 215, 740, 146, 2018, 6845, 3137, 5568, 5156, 6784, 2272, 4946, 335, 7453, 2245, 7158, 225, 427, 2086, 7209, 34, 1386, 1419, 538, 4315, 8233, 3238, 375, 6809, 4244, 4532, 977, 3928, 3568, 848, 2554, 6544, 4493, 49, 6501, 80, 6953, 2819, 4942, 7298, 1446, 8005, 1357, 727, 1820, 3054, 2315, 4407, 3541, 8122, 1622, 3970, 5372, 1771, 399, 3030, 3375, 2872, 8107, 1842, 198, 7021, 4490, 5699, 4356, 5749, 8169, 4555, 1641, 3446, 2195, 7867, 3922, 4730, 4345, 7450]"
1842,"[4112, 2964, 8005, 2449, 787, 2173, 5539, 5681, 298, 4069, 1494, 4107, 2630, 4251, 2559, 4244, 2160, 1100, 8169, 1000, 3754, 1417, 2565, 4791, 203, 3573, 407, 7174, 2738, 7514, 4281, 2817, 679, 5857, 469, 2554, 3089, 1026, 4033, 1848, 4665, 3973, 3611, 2300, 375, 631, 2416, 4356, 1862, 4646, 5372, 968, 4500, 832, 6459, 5130, 2452, 4681, 1544, 3238, 7564, 2086, 5489, 1263, 4786, 6953, 3848, 3017, 4203, 200, 5827, 3928, 710, 1148, 146, 834, 3352, 1644, 1682, 6036, 5223, 4610, 5125, 6215, 1160, 5913, 606, 6158, 258, 929, 2087, 277, 3270, 4488, 982, 3199, 3288, 2611, 2673, 4315, 390, 2716, 198, 531, 2049, 6201, 1549, 6853, 9, 5187, 2736, 6869, 8107, 4832, 2771, 598, 740, 1327, 496, 3256, 1713, 732, 1158, 80, 500, 3356, 5106, 1127, 6145, 561, 2683, 5796, 101, 1783, 82, 6298, 4216, 5769, 1589, 1109, 4579, 825, 7453, 2176, 65, 1616, 1219, 2650, 1819, 381, 1776, 959, 1386, 5270, 908, 5798, 6135, 7545, 2989, 6553, 8122, 3671, 5900, 4777, 3054, 3632, 2703, 6750, 769, 3580, 7092, 2689, 583, 1745, 1061, 1346, 2044, 3549, 920, 2711, 1185, 4807, 5480, 6689, 861, 2687, 3133, 7, 4065, 2629, 84, 193, 5537, 4694, 6940, 4345, 3929, 4722, 2579, 4986, 1419, 1900, 1128, 7221, 568, 4128, 2007, 4472, 7478, 55, 2441, 4236, 1053, 5198, 6747, 3446, 189, 187, 1165, 3188, 1031, 2828, 3680, 4020, 1609, 977, 1948, 1706, 5965, 1289, 2082, 897, 1676, 2330, 5816, 5216, 5507, 3350, 4599, 1563, 12, 2434, 4656, 1016, 2312, 629, 7034, 6776, 1759, 3069, 2338, 1133, 6228, 7387, 4199, 5571, 4622, 2812, 6738, 3628, 702, 1692, 5126, 2391, 3367, 1586, 4002, 1032, 4878, 941, 1633, 2272, 2114, 2153, 1037, 4609, 300, 2732, 4467, 1507, 1323, 285, 4532, 3460, 7867, 1813, 4310, 3707, 3147, 1612, 4631, 153, 4462, 3503, 4354, 6451, 2823, 3761, 49, 2232, 5272, 5083, 3429, 7879, 3568, 5191, 644, 377, 742, 2940, 2763, 1792, 4727, 735, 7209]"
4962,"[1419, 8107, 4946, 6784, 63, 8181, 2102, 3352, 4472, 5559]"
1699,"[1543, 32, 1066, 375]"
